0,mid,neutral,n/a,n/a,backdash
0,far,neutral,n/a,n/a,run
0,mid,neutral,n/a,n/a,6S
0,close,neutral,n/a,n/a,backdash
0,mid,neutral,n/a,n/a,5K
0,mid,neutral,n/a,n/a,2S
0,point blank,adv,n/a,n/a,c.S
0,mid,neutral,n/a,n/a,6S
0,close,disadv,n/a,n/a,backdash
3,point blank,adv,c.S,n/a,5H
0,point blank,adv,n/a,n/a,c.S
3,point blank,adv,c.S,n/a,5H
0,close,adv,n/a,n/a,run
0,point blank,neutral,n/a,n/a,6H
0,point blank,neutral,n/a,n/a,2S
0,mid,neutral,n/a,n/a,6S
0,close,neutral,n/a,n/a,6P
0,mid,neutral,n/a,n/a,run
-2,close,neutral,2K,n/a,2D
0,mid,neutral,n/a,n/a,backdash
0,mid,neutral,run,n/a,6S
0,mid,neutral,run,run,2K
0,mid,neutral,n/a,n/a,6H
0,point blank,adv,n/a,n/a,throw
14,close,neutral,n/a,5K,2K
0,close,neutral,n/a,n/a,2S
0,far,neutral,n/a,n/a,run
0,mid,neutral,n/a,n/a,backdash
0,far,neutral,n/a,n/a,run
0,mid,neutral,n/a,n/a,6H
0,mid,neutral,n/a,n/a,backdash
0,far,neutral,n/a,n/a,run
0,mid,neutral,n/a,n/a,6S
0,mid,neutral,n/a,n/a,run
0,mid,neutral,n/a,n/a,6S
0,mid,neutral,n/a,n/a,6S
0,close,neutral,n/a,n/a,backdash
0,far,neutral,n/a,n/a,6S
0,close,adv,n/a,n/a,f.S
0,point blank,disadv,n/a,n/a,throw
